一	1
剖	339,119,82
剜	139,135,78,82
剔	209,245,82
剛	39,140,121,82
剝	164,278,82
匪	28,463
卿	134,413,75
原	22,331,159
厝	22,183,209
叟	395,3,84
哨	119,161,382
唐	138,261,119
唁	119,442
唷	119,115,382
哼	119,67,119,93
哥	21,119,32,119
哲	220,232,119
唆	119,88,50,131
哺	119,420
唔	119,197,119
哩	119,429
哭	119,119,192
員	119,434
唉	119,88,42,106
哮	119,180,162
哪	119,11,98,166
哦	119,435
唧	119,413,75
唇	22,19,158,119
哽	119,421
唏	119,54,23,122
圃	120,420
圄	120,197,119
埂	100,421
埔	100,420
埋	100,429
埃	100,88,42,106
堉	100,115,382
夏	1,392,131
套	105,447
奘	266,101,106
奚	234,169,106
娑	277,160,5,155
娘	156,6,412
娜	156,11,98,166
娟	156,119,382
娛	156,119,12,106
娓	156,142,222
姬	156,418
娠	156,22,19,158
娣	156,70,265,5
娩	156,63,309
娥	156,435
娌	156,429
娉	156,302,34
孫	163,5,416
屘	142,222,162
宰	139,339,20
害	139,179,119
家	139,426
宴	139,209,155
宮	139,119,5,119
宵	139,161,382
容	139,49,45,119
宸	139,22,19,158
射	437,113
屑	142,161,382
展	142,183,158
屐	142,127,20,84
峭	121,161,382
峽	121,105,47,47
峻	121,88,50,131
峪	121,49,45,119
峨	121,435
峰	121,130,230
島	438,121
崁	121,100,62,45
峴	121,432
差	407,5,102
席	138,182,122
師	5,321,1,122
庫	138,419
庭	138,5,99,157
座	138,47,47,99
弱	149,69,149,69
徒	127,99,207
徑	127,1,170,102
徐	127,45,1,187
恙	407,257
恣	19,62,47,257
恥	357,257
恐	103,137,257
恕	156,119,257
恭	183,48,258
恩	120,106,257
息	392,257
悄	259,161,382
悟	259,197,119
悚	259,423
悍	259,209,95
悔	259,42,274
悌	259,70,265,5
悅	259,49,119,55
悖	259,20,72,162
扇	236,415
拳	70,176,218
挈	229,81,218
拿	45,1,119,218
捎	220,161,382
挾	220,105,47,47
振	220,22,19,158
捕	220,420
捂	220,197,119
捆	220,120,185
捏	220,209,99
捉	220,119,207
挺	220,5,99,157
捐	220,119,382
挽	220,63,309
挪	220,11,98,166
挫	220,99,47,47
挨	220,88,42,106
捍	220,209,95
捌	220,119,61,82
效	67,49,54,221
敉	405,221
料	405,71,20
旁	67,70,72,67,61
旅	67,61,42,244
時	209,101,113
晉	1,88,88,1,209
晏	209,139,155
晃	209,161,1,55
晒	209,361
晌	209,5,39,119
晅	209,1,209,1
晁	209,55,252
書	411,209
朔	140,153,238
朕	238,140,106
朗	6,413,238
校	185,67,237
核	185,404
案	139,155,186
框	185,28,173
桓	185,1,209,1
根	185,412
桂	185,99,99
桔	185,101,119
栩	185,415
梳	185,115,172
栗	360,186
桌	38,209,186
桑	85,85,85,186
栽	20,202,185
柴	208,24,186
桐	185,39,1,119
桀	135,111,186
格	185,130,119
桃	185,55,252
株	185,5,281
桅	185,63,22,76
栓	185,51,173
栘	185,135,135
桁	185,127,19,10;185,127,1,32
殊	195,5,281
殉	195,64,209
殷	398,58,84
氣	223,405
氧	223,406
氨	223,139,155
氦	223,404
氤	223,120,106
泰	279,278
浪	277,6,412
涕	277,70,265,5
消	277,161,382
涇	277,1,170,102
